countries,Region:,image,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rwanda,,,1501243,1511974,1518183,1519790,1521399,1523010,1524622,1526236,1527852,1529469,1531088,1532709,1534332,1535956,1537582,1539210,1540839,1542471,1544103,1545738,1547374,1549012,1550652,1552294,1553937,1555582,1557228,1558877,1560527,1563117,1566652,1571137,1576576,1582975,1589400,1595851,1602328,1608832,1615362,1618661,1618737,1615594,1609238,1599676,1590171,1580723,1571330,1561993,1552712,1542872,1532482,1521550,1510083,1498090,1486192,1474389,1462679,1451062,1439538,1429238,1420149,1412257,1405548,1400007,1394488,1388992,1383516,1378063,1372550,1372234,1377171,1387418,1403035,1424080,1445441,1467123,1489130,1511467,1534139,1556835,1579551,1602283,1625026,1647777,1670845,1694237,1717956,1742008,1766396,1792578,1820606,1850531,1882408,1916291,1950785,1985899,2021645,2058035,2095079,2137714,2154225,2227469,2302460,2378942,2457268,2537918,2620719,2706056,2793071,2880601,2966170,3046663,3122129,3191315,3263644,3348640,3444023,3549463,3662015,3777884,3896371,4015408,4135586,4259492,4386375,4515760,4648207,4783254,4921958,5074375,5247537,5441977,5652908,5859395,6056736,6266756,6497813,6735836,6953975,7141981,7319970,7485683,7657202,7904741,6732668,5686897,6715510,7666742,7914653,8009586,8109994,8223950,8372310,8567993,8791855,9026297,9270073,9523177,9781999,10043736,10309032,10576932,10840331,11101352,11368450,11642963,11930902,12230343,12531810,12835029,13146367,13461891
Saint Kitts and Nevis,,,28683,29193,29712,30240,30778,31325,31881,32448,33024,33606,34192,34783,35379,35979,36590,37211,37843,38485,39138,39747,40311,40828,41298,41717,42141,42569,43001,43438,43879,44318,44753,45184,45613,46038,46467,46900,47337,47778,48223,48545,48742,48815,48762,48582,48404,48226,48048,47871,47695,47496,47275,47031,46765,46477,46190,45906,45623,45342,45063,44712,44292,43803,43248,42627,42015,41411,40817,40230,39630,39133,38736,38439,38238,38134,38029,37925,37822,37718,37615,37573,37593,37674,37817,38022,38228,38435,38644,38853,39064,39356,39730,40189,40735,41368,42012,42665,43329,44003,44687,45370,47275,48384,49497,50592,51527,52363,53298,54275,55276,56251,56679,56262,55424,54409,53277,52036,50707,49289,47792,46157,44991,44605,44437,44263,44078,43908,43764,43625,43486,43298,43117,42971,42816,42627,42402,42170,41910,41643,41341,41015,40663,40562,40924,41470,42029,42576,43120,43681,44256,44852,45492,46013,46288,46456,46602,46752,46900,47038,47180,47310,47429,47605,47754,47793,47816,47814,47814,47811,47787,47739,47666,47631
Saint Lucia,,,24171,24361,24611,24920,25234,25551,25872,26198,26527,26889,27285,27716,28183,28686,29198,29720,30251,30791,31341,31919,32526,33163,33832,34532,35247,35977,36721,37482,38257,38949,39555,40071,40496,40826,41159,41494,41832,42173,42516,42950,43477,44099,44818,45639,46474,47324,48190,49072,49970,50681,51202,51530,51662,51594,51525,51457,51388,51320,51252,51265,51361,51539,51800,52145,52492,52841,53192,53546,53865,54278,54787,55394,56101,56910,57730,58562,59406,60262,61131,62026,62949,63899,64878,65885,66909,67948,69004,70076,71164,72221,73246,74236,75192,76112,77043,77986,78940,79905,80883,81842,86716,87330,87546,87787,88101,88481,88934,89449,90049,90695,91629,92783,93843,94905,95965,97042,98142,99268,100427,101623,103108,104798,106474,108136,109757,111511,113445,115398,117414,119480,121651,123929,126208,128455,130640,132770,134820,136792,138676,140471,142315,144287,146433,148610,150574,152368,153982,155472,156872,158272,159513,160611,161814,163060,164252,165394,166476,167524,168584,169694,170950,172157,173139,173992,174814,175638,176429,177175,177894,178594,179245,179663
Samoa,,,46707,46505,46241,45914,45589,45267,44947,44630,44314,44001,43690,43381,43075,42770,42468,42168,41870,41574,41280,40989,40699,40411,40126,39842,39561,39281,39003,38728,38454,38182,37912,37644,37378,37114,36852,36592,36333,36076,35821,35568,35317,35067,34819,34573,34329,34086,33845,33606,33369,33272,33318,33508,33841,34320,34805,35297,35797,36303,36816,37189,37419,37505,37447,37243,37040,36838,36637,36437,36240,36407,36953,37891,39238,41011,42863,44800,46823,48938,51149,53175,55001,56613,57996,59133,60292,61474,62679,63908,65161,66427,67705,68996,70299,71615,72956,74322,75713,77130,78574,80230,87970,89926,91964,93991,96017,98054,100314,103105,106365,109822,113351,116840,120183,123435,126601,129803,132991,135765,138172,140473,142785,145076,147348,149605,152250,155271,158155,160371,162001,163497,164921,166201,166899,166956,166790,166533,166369,166786,167464,167904,168202,168713,169817,171375,173120,174917,176732,178555,180392,182224,184022,185542,186645,187455,188083,188634,189384,190490,191791,193189,194686,196364,198131,199952,201769,203586,205559,207642,209715,211915,214934,218781
Sao Tome and Principe,,,28098,28297,28498,28700,28903,29108,29314,29522,29731,29941,30153,30367,30582,30799,31017,31237,31458,31681,31905,32131,32359,32588,32819,33051,33285,33521,33759,33998,34239,34481,34725,34971,35219,35469,35720,35973,36228,36484,36743,37003,37265,37529,37795,38063,38332,38604,38877,39153,39430,39970,40784,41885,43286,45001,46784,48638,50566,52569,54652,56289,57464,58163,58369,58065,57762,57461,57162,56864,56568,56409,56388,56505,56760,57152,57548,57947,58348,58752,59158,59505,59790,60014,60176,60276,60376,60475,60575,60676,60776,60831,60840,60803,60721,60594,60466,60339,60213,60086,59960,59930,60993,62065,63046,63882,64635,65312,65933,66476,67009,67555,68061,68723,69533,70290,71009,71745,72584,73585,74756,76075,77601,79246,80850,82488,84205,86055,88096,90318,92673,95034,97225,99186,100949,102664,104514,106624,108978,111627,114528,117458,120355,123101,125663,128195,130679,133094,135423,137672,139801,141823,143729,146271,149852,153774,157714,161697,165739,169859,174019,178145,182154,186058,189936,193765,197511,201142,204640,208050,211358,214612,218650,223118
Saudi Arabia,,,2235890,2234307,2232706,2231086,2229448,2227791,2226116,2224422,2222710,2220978,2219228,2217459,2215671,2213864,2212038,2210192,2208327,2206443,2204539,2202616,2200673,2198711,2196729,2194727,2192705,2190663,2188601,2186519,2184417,2182294,2180151,2177987,2175803,2173598,2171373,2169126,2166859,2164571,2162261,2159931,2157579,2155206,2152812,2150396,2147959,2145499,2143019,2140516,2137991,2137410,2138769,2142066,2147298,2154462,2161623,2168782,2175938,2183091,2190240,2198435,2207681,2217982,2229346,2241775,2254244,2266753,2279302,2291889,2312973,2334251,2355725,2377396,2399267,2421338,2443613,2466093,2488779,2511675,2534780,2558099,2581632,2605381,2629349,2653537,2677948,2702584,2727446,2752536,2777858,2803412,2829202,2855229,2881495,2908003,2934755,2961753,2988999,3016496,3044246,3079126,3089697,3183591,3279349,3377026,3477536,3581915,3690031,3802028,3916802,4036573,4165566,4306057,4458521,4621661,4795133,4978924,5173240,5381032,5604583,5844855,6106192,6396665,6724259,7088765,7483511,7897541,8319558,8755223,9210568,9682002,10171712,10678218,11201155,11746019,12310362,12890250,13483356,14089800,14713717,15353231,16004768,16654283,17281352,17846472,18367526,18888862,19410278,19938380,20472576,21009664,21547398,22085932,22623412,23150850,23661804,24397652,25382870,26400066,27437352,28483800,29411930,30150952,30821554,31482502,32125570,32749838,33416272,34193120,35018132,35827364,35997108,35950396
Senegal,,,936513,938504,942133,947403,952703,958032,963390,968779,974197,980040,986312,993020,1000167,1007760,1015410,1023118,1030884,1038710,1046594,1055176,1064467,1074479,1085225,1096716,1108328,1120064,1131923,1143908,1156019,1167786,1179201,1190257,1200945,1211259,1221661,1232152,1242732,1253404,1264167,1274507,1284418,1293894,1302926,1311508,1320147,1328842,1337594,1346404,1355271,1364197,1373181,1382224,1391327,1400489,1409711,1418994,1428337,1437742,1447209,1456444,1465445,1474209,1482732,1491011,1499336,1507708,1516126,1524590,1533738,1545734,1560638,1578510,1599410,1623401,1647752,1672469,1697556,1723019,1748865,1774737,1800633,1826546,1852473,1878407,1904705,1931371,1958410,1985828,2013630,2043476,2075427,2109541,2145879,2184505,2223826,2263855,2304605,2346088,2388317,2435109,2496070,2561159,2628513,2698422,2771256,2847264,2926581,3008871,3093946,3182054,3273181,3367088,3463528,3562468,3664603,3770879,3881994,3997871,4117667,4240866,4367747,4498628,4633465,4772044,4911424,5047927,5181204,5308303,5433228,5564468,5703873,5852029,6008391,6171882,6341803,6520707,6710889,6909836,7113639,7321837,7536003,7754296,7974512,8196551,8417001,8632684,8843426,9051545,9261531,9478565,9704291,9938028,10180944,10434505,10698699,10974066,11263389,11563878,11872933,12195028,12530128,12875878,13231840,13595571,13970314,14356191,14751356,15157793,15574910,16000783,16436120,16876726
Serbia,,,2020891,2017086,2013289,2009498,2005714,2001938,1998168,1994406,1990650,1986902,1983161,1979426,1975699,1971979,1968265,1964559,1960859,1957167,1953481,1949802,1946131,1942466,1938808,1935156,1931512,1927874,1924244,1920620,1917003,1919088,1926940,1940624,1960206,1985753,2011633,2037850,2064409,2091313,2118569,2146828,2176114,2206450,2237859,2270365,2303343,2336800,2370743,2405179,2440115,2476175,2513385,2551772,2591363,2632186,2673652,2715771,2758554,2802010,2846151,2894201,2946289,3002550,3063121,3128143,3194545,3262356,3331607,3402328,3474081,3547346,3622157,3698546,3776545,3856190,3937514,4020553,4105344,4191922,4280327,4370595,4462768,4556884,4652986,4751114,4851311,4953621,5058090,5164761,5273682,5384900,5498463,5614422,5732825,5853726,5977177,6103231,6231944,6363371,6497569,6620658,6017687,6081258,6147422,6222778,6290133,6348550,6400668,6445401,6487264,6530869,6579987,6643717,6711537,6776518,6840008,6902986,6966323,7026788,7084581,7140606,7193540,7242806,7296104,7355438,7416618,7479841,7544260,7607999,7669223,7726494,7777013,7814393,7841807,7866039,7889240,7912073,7931910,7948309,7963944,7977876,7987530,7964455,7943504,7957074,7969952,7982463,7993447,7997524,7985509,7959748,7935023,7917792,7904272,7887466,7863399,7830944,7794792,7758181,7722801,7688037,7653749,7620925,7591357,7566674,7543965,7519501,7493288,7464882,7433825,7401056,7358010,7296771
Sierra Leone,,,781365,784110,787754,792301,796874,801473,806099,810750,815428,820297,825359,830618,836075,841733,847429,853163,858935,864746,870596,876661,882944,889449,896178,903134,910144,917208,924326,931499,938727,946010,953350,960746,968198,975708,983276,990902,998586,1006330,1014132,1021995,1029918,1037902,1045948,1054055,1062224,1070456,1078751,1087110,1095534,1104021,1112574,1121193,1129878,1138629,1147448,1156334,1165288,1174311,1183404,1192326,1201074,1209646,1218038,1226246,1234510,1242828,1251202,1259631,1267189,1277100,1289414,1304180,1321448,1341270,1361389,1381810,1402537,1423575,1444929,1466305,1487700,1509110,1530531,1551958,1573685,1595717,1618057,1640710,1663680,1688340,1714737,1742923,1772946,1804859,1837346,1870419,1904086,1938360,1973250,2007540,2000793,2026726,2053044,2079382,2106630,2135649,2166120,2197814,2230007,2264051,2301315,2341068,2382920,2426751,2472694,2520585,2569738,2620402,2672375,2724909,2778561,2832401,2886639,2942336,2998854,3055919,3112868,3172202,3235172,3300032,3367486,3437109,3509202,3585781,3666263,3749425,3842925,3947870,4056222,4159166,4325390,4378175,4301575,4295693,4314956,4324151,4347381,4405034,4449981,4475156,4584074,4857106,5140120,5350917,5533329,5683338,5809778,5939169,6090861,6259845,6436699,6612390,6788594,6964867,7140700,7314779,7493918,7677570,7861287,8046830,8233973,8420642
Singapore,,,56006,57155,58321,59505,60713,61946,63204,64487,65796,67132,68495,69886,71304,72752,74229,75736,77274,78843,80444,82266,84320,86617,89167,91984,94889,97886,100978,104168,107458,110852,114353,117965,121691,125535,129500,133591,137810,142163,146653,151291,156080,161027,166136,171412,176856,182472,188267,194246,200415,207189,214605,222700,231514,241089,251060,261444,272257,283517,295243,306031,315816,324528,332095,338442,344909,351501,358218,365064,372106,381120,392224,405541,421200,439334,458249,477979,498558,520023,542412,563448,583019,601004,617281,631717,646490,661608,677081,692915,709119,726877,746263,767351,790222,814956,840465,866772,893903,921883,950738,984038,1006712,1048942,1096241,1148757,1206225,1267618,1332586,1400704,1469695,1538026,1601091,1657557,1711060,1762518,1812335,1860652,1906851,1950286,1990680,2027412,2061833,2095907,2131574,2168370,2202332,2232434,2261945,2292169,2323256,2358236,2400734,2451730,2507222,2564775,2624375,2685987,2749737,2814749,2880509,2945697,3022218,3120627,3228234,3334134,3438616,3543878,3651905,3760649,3866296,3966485,4053602,4121341,4176799,4226417,4270407,4344645,4486581,4663262,4838404,5010707,5163585,5281351,5381003,5478063,5570505,5650020,5711936,5764489,5814543,5866408,5909874,5941063
Slovakia,,,2392070,2400435,2408828,2417250,2425702,2434184,2442695,2451235,2459806,2468406,2477036,2485696,2494386,2503107,2511858,2520640,2529452,2538294,2547168,2556072,2565008,2573975,2582972,2592002,2601062,2610154,2619278,2628434,2637621,2646841,2656093,2665376,2674693,2684041,2693422,2702836,2712283,2721762,2731275,2740820,2750399,2760011,2769657,2779336,2789049,2798796,2808577,2818392,2828241,2838124,2848041,2857994,2867980,2878002,2888058,2898150,2908276,2918438,2928636,2938868,2949137,2959441,2969781,2980157,2990569,3001017,3011502,3022023,3033229,3044476,3055765,3067096,3078469,3089884,3101341,3112841,3124384,3135969,3147597,3159269,3170984,3182742,3194543,3206389,3218278,3230212,3242190,3254212,3266279,3278390,3290547,3302748,3314995,3327287,3339625,3352008,3364437,3376913,3389435,3409279,3465627,3524948,3591185,3659429,3727387,3796627,3867650,3936318,4002220,4064387,4124235,4185083,4235341,4277652,4322116,4363517,4400355,4433964,4463936,4492217,4522872,4557506,4597162,4641292,4688474,4737067,4786345,4835452,4883372,4930974,4973886,5011719,5048149,5082435,5115048,5146573,5175412,5201175,5224911,5245120,5261310,5280230,5301897,5321863,5338814,5349999,5358288,5365829,5371086,5374617,5376700,5376457,5375206,5374381,5374932,5376251,5377239,5378381,5381641,5388934,5396428,5402686,5409283,5414744,5419572,5424449,5431205,5439418,5446746,5453932,5456681,5447621
Slovenia,,,610971,616399,621874,627398,632972,638594,644267,649990,655764,661589,667466,673395,679377,685412,691501,697643,703841,710093,716401,722765,729185,735662,742197,748790,755442,762152,768922,775753,782644,789596,796610,803686,810825,818028,825294,832625,840021,847483,855011,862606,870269,877999,885798,893667,901605,909614,917694,925846,934070,942367,950738,959183,967703,976299,984972,993721,1002548,1011453,1020438,1029502,1038647,1047873,1057181,1066572,1076046,1085604,1095247,1104976,1114704,1124518,1134418,1144405,1154480,1164643,1174897,1185240,1195675,1206201,1216820,1227532,1238339,1249241,1260239,1271334,1282527,1293818,1305208,1316699,1328290,1339984,1351781,1363682,1375687,1387798,1400016,1412342,1424775,1437319,1449973,1461901,1445042,1458640,1472897,1488606,1505247,1521776,1538085,1554155,1569732,1584907,1599581,1613630,1627388,1641167,1655107,1669454,1684516,1699824,1714465,1728170,1741287,1754882,1769715,1785228,1800976,1817046,1833548,1850370,1867385,1884600,1901574,1916322,1927957,1937239,1945148,1952526,1959559,1966500,1973499,1980179,1986030,1989799,1991344,1991685,1991454,1991115,1990671,1989831,1988287,1986263,1984339,1982489,1983769,1989413,1996731,2004780,2013577,2023230,2034037,2045578,2057294,2065457,2069365,2072374,2074923,2080865,2090020,2098396,2105931,2112905,2117648,2119408
Solomon Islands,,,78702,79362,80027,80696,81371,82051,82737,83427,84123,84824,85530,86242,86959,87682,88410,89143,89883,90627,91377,92133,92895,93662,94435,95214,95998,96788,97585,98387,99195,100009,100829,101655,102487,103325,104170,105020,105877,106740,107610,108485,109367,110256,111151,112052,112960,113874,114795,115723,116657,117598,118545,119499,120460,121428,122403,123385,124373,125369,126371,127119,127613,127850,127832,127556,127279,127002,126725,126447,126531,125425,123184,119859,115499,110153,105053,100190,95552,91129,86910,83634,81257,79738,79040,79123,79207,79291,79375,79459,79543,79796,80219,80816,81588,82537,83497,84468,85450,86444,87450,88565,105227,107135,109328,111773,114461,117322,120300,123385,126665,130084,133453,136795,140267,143883,147626,151509,155530,159682,163986,168413,172849,177282,181890,186836,192169,197865,204090,210946,218202,225799,233681,241840,250262,258962,267920,277169,286534,295851,305141,314572,324184,333960,343929,354097,364510,375198,386084,397059,408151,419242,429986,440403,450773,461226,471796,482496,493438,504624,516010,527844,540402,553727,567771,582369,597386,612670,628110,643641,659259,675000,691198,707855
Somalia,,,1464409,1471869,1475574,1475474,1475375,1475275,1475176,1475076,1474976,1474877,1474777,1474678,1474578,1474478,1474379,1474279,1474180,1474080,1473981,1474176,1474666,1475451,1476532,1477909,1479287,1480666,1482046,1483428,1484811,1486195,1487581,1488968,1490356,1491746,1493136,1494528,1495922,1497316,1498712,1500710,1503312,1506521,1510338,1514767,1519208,1523663,1528130,1532611,1537105,1541612,1546132,1550665,1555212,1559772,1564345,1568932,1573532,1578146,1582773,1587096,1591112,1594820,1598219,1601307,1604400,1607500,1610606,1613718,1616946,1622777,1631243,1642376,1656208,1672770,1689498,1706393,1723456,1740691,1758098,1774961,1791271,1807014,1822181,1836758,1851452,1866264,1881194,1896244,1911414,1929424,1950338,1974220,2001136,2031153,2061620,2092544,2123932,2155791,2188128,2224181,2213058,2276342,2339500,2402356,2465558,2529916,2595393,2662087,2729168,2798192,2870732,2945665,3022833,3102177,3183592,3267594,3353669,3441805,3532426,3625272,3720982,3818393,3918223,4022340,4125828,4228293,4333785,4449508,4777703,5408820,5892226,5934940,5951818,6142513,6369022,6630642,6908582,7158006,7160467,7035382,6999098,6732711,6428147,6620734,6959837,7210931,7472453,7734311,8056861,8384475,8721465,9070751,9411108,9758285,10117359,10467294,10784978,11118092,11444870,11730035,12026650,12216842,12440332,12852491,13309236,13763909,14292848,14864224,15411101,15981312,16537018,17065588
South Korea,Asia,,9548156,9546011,9544903,9544833,9544751,9544657,9544553,9544437,9544310,9544171,9544021,9543859,9543687,9543502,9543306,9543099,9542880,9542650,9542407,9541019,9538488,9534814,9530001,9524049,9518090,9512122,9506147,9500163,9494172,9488172,9482164,9476149,9470125,9464093,9458053,9452005,9445949,9439885,9433813,9427735,9421653,9415565,9409472,9403373,9397267,9391152,9385029,9378898,9372759,9369454,9368981,9371336,9376517,9384522,9392521,9400514,9408502,9416484,9424460,9458421,9518738,9605786,9719947,9861608,10005320,10151112,10299015,10449058,10613659,10782444,10955505,11132936,11314833,11501294,11690828,11883485,12079317,12278377,12480716,12674274,12858761,13033884,13199344,13354832,13512151,13671324,13832372,13995317,14160182,14377584,14649622,14978462,15366340,15815563,16277919,16753792,17243577,17747680,18266520,18754984,20104016,20116896,20393376,20862402,21432886,22075012,22763458,23494054,24256850,25036094,25817530,26552230,27234476,27905876,28555858,29179406,29838228,30540604,31229640,31912022,32601146,33288372,33976860,34659716,35319340,35930700,36456328,36911304,37329988,37737924,38170500,38731908,39403428,40053744,40664360,41232700,41808708,42405260,42988456,43567516,44120040,44487412,44703708,44932856,45165784,45393416,45660164,45962392,46250260,46520448,46788588,47064784,47320664,47539740,47727288,47889576,48049348,48220600,48398632,48588024,48813036,49169880,49634188,50098228,50558044,50994396,51309984,51511640,51676900,51803832,51844688,51830136
South Sudan,,,1205835,1216866,1227972,1239152,1250408,1261739,1273146,1284630,1296192,1307830,1319547,1331342,1343216,1355169,1367202,1379316,1391510,1403786,1416143,1428583,1441105,1453328,1466014,1478784,1491639,1504579,1517604,1530716,1543915,1557201,1570575,1584037,1597587,1611227,1624957,1638777,1652689,1666691,1680786,1694973,1709253,1723626,1738094,1752657,1767315,1782068,1796918,1811865,1826910,1842053,1857294,1872634,1888075,1903616,1919257,1935001,1950846,1966795,1982846,1999002,2015262,2031440,2047911,2064487,2081170,2097961,2114861,2131869,2141368,2150909,2160493,2170119,2179789,2189502,2199258,2209056,2218899,2228786,2238717,2248692,2258711,2268776,2278884,2289039,2299238,2309482,2319772,2330109,2340491,2350919,2361395,2371916,2382485,2393101,2403764,2414474,2425232,2436038,2446892,2457795,2492083,2526078,2563626,2604571,2648686,2695354,2742982,2790018,2831375,2868505,2907727,2948958,2992277,3036245,3088706,3143625,3185304,3221963,3261734,3301894,3342414,3396817,3464720,3542466,3629614,3718282,3808618,3901047,3995916,4092801,4192017,4293874,4398300,4502536,4603043,4706980,4819664,4893811,4814885,4706630,4750824,4867193,4956976,5018174,5142865,5302053,5434896,5589417,5699437,5850149,6114443,6394433,6686105,6992367,7317127,7662659,8029516,8417830,8823896,9229234,9714425,10243057,10701605,11106037,11213286,11194300,11066116,10658230,10395332,10447677,10606224,10748278
Spain,Europe,https://public.flourish.studio/country-flags/svg/es.svg,14878948,14962373,15041060,15114952,15189207,15263827,15338814,15414169,15489894,15561628,15629336,15692983,15752534,15807952,15863565,15919374,15975380,16031582,16087982,16146109,16205974,16267590,16330970,16396125,16461539,16527215,16593153,16659354,16725819,16796643,16871863,16951519,17035651,17124297,17213404,17302975,17393012,17483518,17574494,17663324,17749983,17834450,17916700,17996711,18077079,18157806,18238893,18320343,18402156,18492820,18592431,18701086,18818885,18945926,19073825,19202587,19332219,19462726,19594113,19726239,19859107,19992721,20127085,20262202,20398227,20535166,20673023,20811806,20951509,21105957,21275387,21460038,21660152,21875976,22093950,22314097,22536436,22760991,22987784,23214422,23440882,23667138,23893166,24118939,24346846,24576906,24809141,25043569,25280213,25514776,25747201,25977430,26205406,26431068,26658673,26888238,27119781,27353317,27588864,27827656,28069696,28207082,28404774,28633540,28862382,29095376,29329782,29577444,29857444,30150510,30415594,30711868,31052630,31388554,31747644,32112016,32462272,32814224,33157582,33480508,33792624,34133624,34515176,34898152,35329900,35760432,36139072,36513080,36865440,37188964,37491664,37758648,37982144,38169764,38329928,38471924,38590808,38694532,38781724,38847320,38889888,38997064,39202248,39420540,39623732,39814568,39996476,40180048,40362356,40542232,40741652,40966448,41477652,42230268,42959672,43685372,44422824,45245784,45966544,46367772,46572776,46729232,46756084,46603460,46464548,46431344,46473320,46584168,46792044,47131372,47363808,47486932
Sri Lanka,,,2169961,2168627,2151987,2119932,2088354,2057244,2026597,1996405,1966662,1958361,1972045,2008281,2067665,2150821,2237321,2327298,2420892,2518248,2619518,2707173,2780493,2838729,2881100,2906791,2932709,2958857,2985235,3011848,3038695,3067047,3096930,3128374,3161407,3196060,3231090,3266503,3302302,3338491,3375074,3415960,3461262,3511099,3565591,3624859,3685109,3746359,3808625,3871923,3936271,4003298,4073080,4145693,4221218,4299736,4379712,4461172,4544145,4628659,4714742,4796553,4873934,4946725,5014758,5077864,5141762,5206461,5271971,5338302,5401395,5461433,5518348,5572069,5622528,5669654,5717174,5765092,5813412,5862137,5911270,5959445,6006643,6052847,6098037,6142196,6186674,6231475,6276599,6322051,6367832,6431408,6513272,6613925,6733881,6873666,7016352,7162001,7310673,7462431,7617339,7786691,7945979,8091463,8245472,8406914,8575077,8749630,8931093,9122983,9329673,9551289,9783874,10022896,10267069,10517538,10774088,11035228,11299725,11571012,11846820,12119211,12388767,12654656,12914457,13169738,13418276,13662872,13910170,14159059,14414817,14680394,14943644,15198920,15438754,15658448,15872577,16092339,16317998,16547143,16773736,16990582,17204098,17416596,17624462,17825610,18011746,18177570,18322504,18449120,18560806,18670408,18776374,18920278,19110706,19303182,19490434,19673866,19870706,20078652,20285640,20482484,20668556,20859746,21017150,21131762,21239448,21336692,21425494,21506816,21580712,21649664,21715076,21773438
Sudan,,,4687944,4693378,4698767,4704111,4709410,4714662,4719868,4725027,4730137,4735200,4740213,4745178,4750092,4754956,4759769,4764531,4769241,4773897,4778501,4783051,4787547,4790725,4795109,4799437,4803709,4807923,4812079,4816178,4820217,4824196,4828115,4831973,4835770,4839505,4843177,4846785,4850330,4853810,4857225,4860574,4863856,4867071,4870218,4873296,4876305,4879245,4882113,4884911,4887636,4890289,4892868,4895373,4897803,4900158,4902437,4904638,4906762,4908808,4910774,4912660,4914466,4915737,4917379,4918937,4920412,4921803,4923109,4924327,4946269,4968308,4990445,5012681,5035016,5057451,5079985,5102620,5125356,5148193,5171131,5194172,5217316,5240563,5263913,5287368,5310927,5334591,5358360,5382235,5406217,5430305,5454501,5478804,5503216,5527737,5552367,5577107,5601957,5626917,5651989,5677173,6191328,6379725,6574226,6773612,6979204,7193070,7413625,7638684,7860887,8086643,8326464,8577496,8841347,9115098,9406707,9712789,10014514,10320504,10638903,10966149,11305212,11668923,12057267,12469594,12950966,13497547,14066010,14667218,15305815,15973036,16673591,17404334,18128632,18734000,19165838,19517200,19887458,20230532,20453818,20718704,21090892,21453710,21780058,22163254,22703632,23290602,23862260,24454376,25029146,25634162,26298778,26947252,27570326,28188984,28831556,29540584,30332970,31191168,32065240,32948156,33739932,34419628,35159792,35990708,37003248,38171172,39377168,40679820,41999064,43232092,44440484,45657204
Suriname,,,85225,85406,85588,85770,85953,86136,86319,86503,86687,86871,87056,87241,87427,87613,87799,87986,88173,88360,88548,88736,88925,89114,89304,89493,89684,89874,90065,90257,90449,90641,90834,91027,91220,91414,91608,91803,91998,92193,92389,92585,92782,92979,93177,93375,93573,93772,93971,94170,94370,94571,94772,94973,95174,95377,95579,95782,95985,96189,96393,97270,98845,101146,104202,108042,112024,116152,120432,124870,129431,133474,136970,139893,142212,143896,145601,147326,149072,150838,152625,154645,156905,159410,162170,165189,168265,171399,174590,177841,181153,184291,187250,190023,192604,194987,197398,199840,202312,204814,207347,210729,195769,201005,207121,213490,220156,227154,234527,242331,250574,259270,268404,277977,288298,299339,310295,321082,332147,343635,355480,367625,379928,392039,397544,396348,394532,392140,389244,385818,381891,377373,375123,375865,377302,379421,382625,387181,392380,396873,402145,408374,412767,415988,419531,422384,426553,434497,443840,452895,461754,470469,479011,487402,495678,503786,510588,516228,522035,527958,533939,539996,546085,552154,558111,563952,569687,575478,581462,587566,593729,600305,607068,612989
Sweden,,,3461607,3496773,3532046,3567422,3603152,3639240,3675690,3712505,3749688,3786142,3821850,3856795,3890960,3924326,3957978,3991919,4026151,4060677,4095499,4131316,4168145,4206000,4244897,4284851,4325182,4365892,4406985,4448465,4490335,4528087,4561661,4590997,4616035,4636714,4657486,4678351,4699309,4720361,4741508,4765023,4790934,4819267,4850048,4883305,4916790,4950505,4984451,5018629,5053042,5087148,5120942,5154417,5187569,5220392,5253422,5286661,5320111,5353772,5387646,5423117,5460205,5498931,5539316,5581381,5623766,5666472,5709503,5752861,5796427,5836421,5872799,5905517,5934531,5959795,5985167,6010647,6036236,6061933,6087740,6112863,6137296,6161033,6184069,6206397,6228806,6251296,6273868,6296520,6319255,6350077,6389096,6436420,6492162,6556432,6621338,6686887,6753085,6819938,6887453,6950802,7014611,7068422,7119455,7169979,7217603,7264358,7312100,7358125,7403293,7449319,7492907,7536314,7582638,7632938,7691821,7755758,7819976,7882645,7937776,7983538,8027701,8073823,8117718,8156938,8193157,8224408,8246992,8265245,8281304,8296037,8311761,8326689,8340726,8355111,8371284,8389918,8411798,8438000,8468135,8504982,8548407,8594170,8640277,8683403,8723467,8758496,8785493,8807868,8828629,8848881,8871042,8896748,8926011,8961506,9004263,9051739,9104724,9164274,9229282,9301413,9381722,9467384,9555984,9648935,9747507,9849344,9953322,10058191,10162300,10267922,10368968,10467095
